date,label,category,description
2020-03-20,COVID-19 Lockdown,External Shock,Global pandemic hits Sri Lanka; strict lockdowns halt tourism and economic activity.
2021-04-27,Organic Fertilizer Ban,Policy Shock,"Government bans chemical fertilizers, triggering a severe agricultural crisis and food inflation."
2022-04-12,Sovereign Default,Economic Crisis,Sri Lanka defaults on its sovereign debt for the first time in its history amid severe forex shortages.
2022-07-09,President Flees Country,Political Crisis,Mass protests force President Gotabaya Rajapaksa to flee the country amid economic collapse.
2022-07-22,New President Elected,Political Shift,Ranil Wickremesinghe is elected as the new President to stabilize the economy.
2023-03-20,IMF Bailout Approved,Economic Recovery,IMF approves a $2.9 billion Extended Fund Facility (EFF) bailout package to restore economic stability.
2024-09-21,Presidential Election,Political Shift,"Anura Kumara Dissanayake (NPP/JVP) wins the presidential election, marking a historic political shift."
2024-11-14,Parliamentary Election,Political Shift,"NPP wins a historic supermajority in parliament, signaling strong mandate for structural reforms."
2025-04-09,Global Trade War / US Tariffs,External Shock,"US imposes sweeping global tariffs, creating uncertainty for Sri Lankan exports and global trade."
2025-11-28,Cyclone Ditwah,Natural Disaster,"Devastating cyclone hits Sri Lanka, causing widespread damage to infrastructure and agriculture."
2026-03-01,US-Iran Conflict Escalation,Geopolitical Shock,"Escalation in the Middle East disrupts global oil supply chains, spiking fuel costs and impacting tourism."
2026-05-16,Vehicle Import Liberalization,Policy Reform,"Government relaxes strict vehicle import bans, signaling economic normalization and forex stability."
